name,description,price,category,tags/0,tags/1,tags/2,type,tags/3,tags/4,tags/5
Rasam,"A spicy and tangy South Indian soup made with tamarind, tomatoes, and a blend of aromatic spices, garnished with cilantro",4.99,Soup,spicy,tangy,South Indian,indian,tomato,tamarind,
Mango Lassi,"A refreshing and sweet yogurt-based drink made with fresh mango pulp, milk, and sugar, garnished with chopped nuts",3.99,Beverage,sweet,mango,lassi,indian,,,
Gulab Jamun,"A popular Indian dessert made with deep-fried milk solids soaked in a sugar syrup, flavored with rose water and cardamom",4.99,Dessert,sweet,milk,cardamom,indian,rose water,,
Chana Masala,Chickpeas cooked in a spicy tomato-based sauce,9.99,Main Course,spicy,vegetarian,north indian,indian,,,
Baingan Bharta,Roasted eggplant mashed and cooked with onions and spices,11.99,Main Course,spicy,vegetarian,north indian,indian,,,
Chicken Tikka Masala,Marinated and grilled chicken in a creamy tomato sauce,15.99,Main Course,spicy,chicken,north indian,indian,,,
Butter Chicken,Tender chicken cooked in a rich buttery tomato sauce,16.99,Main Course,creamy,chicken,north indian,indian,,,
Paneer Makhani,Cubes of paneer cooked in a creamy tomato sauce,14.99,Main Course,vegetarian,creamy,north indian,indian,,,
Aloo Gobi,Cauliflower and potatoes cooked in a blend of spices,10.99,Main Course,vegetarian,north indian,,indian,,,
Samosa Chaat,"Crispy samosas served with chickpeas, yogurt, and chutneys",8.99,Appetizer,vegetarian,spicy,north indian,indian,,,
Bhindi Masala,Okra cooked with onions and spices,12.99,Main Course,vegetarian,north indian,,indian,,,
Rajma Masala,Red kidney beans cooked with onions and spices,10.99,Main Course,vegetarian,north indian,,indian,,,
Pav Bhaji,"Mashed vegetables cooked with spices, served with buttered bread",9.99,Main Course,vegetarian,north indian,,indian,,,
Chicken Biryani,Fragrant rice cooked with chicken and spices,15.99,Biryani,spicy,chicken,,indian,,,
Chicken Korma,Chicken cooked in a rich and creamy cashew-based sauce,13.99,Main Course,chicken,creamy,cashew,indian,North Indian,,
Pav Bhaji,A popular street food dish made with a spicy vegetable mash and buttered bread,7.99,Snack,spicy,vegetarian,street food,indian,Maharashtrian,,
Masala Chai,"A hot and spicy tea made with black tea, milk, and a blend of aromatic spices",3.99,Beverage,spicy,tea,aromatic,indian,North Indian,,
Chicken 65,Spicy deep-fried chicken appetizer,9.99,Appetizer,spicy,chicken,deep-fried,indian,Andhra,,
Samosa Chaat,"A delicious chaat made with samosas, yogurt, and chutneys",8.99,Snack,spicy,vegetarian,chaat,indian,North Indian,,
Chicken Biryani,A flavorful rice dish made with tender chicken and aromatic spices,14.99,Main Course,spicy,chicken,rice,indian,Hyderabadi,,
Rajma Masala,A popular vegetarian curry made with kidney beans in a spicy tomato-based sauce,11.99,Main Course,spicy,vegetarian,curry,indian,Punjabi,,
Butter Chicken,Tender chicken cooked in a rich and creamy tomato-based sauce,13.99,Main Course,chicken,creamy,tomato,indian,North Indian,,
Dal Makhani,A popular vegetarian dish made with black lentils in a creamy tomato-based sauce,11.99,Main Course,vegetarian,creamy,dal,indian,North Indian,,
Gulab Jamun,A sweet and syrupy dessert made with fried dough balls and flavored sugar syrup,5.99,Dessert,sweet,syrupy,dessert,indian,North Indian,,
Masala Dosa,"A crispy South Indian crepe made with rice and lentil batter, filled with a spicy potato masala",7.99,South Indian,vegan,vegetarian,gluten-free,Indian,,,
Idli Sambar,Steamed rice and lentil cakes served with a lentil-based vegetable stew,6.99,South Indian,vegan,vegetarian,gluten-free,Indian,,,
Pav Bhaji,"A Mumbai-style street food dish made with mashed vegetables, spices, and butter, served with soft bread rolls",8.99,Street Food,vegan,vegetarian,,Indian,,,
Hyderabadi Biryani,"A flavorful rice dish made with basmati rice, spices, and meat or vegetables, cooked in a traditional Hyderabadi style",12.99,Biryani,spicy,non-vegetarian,gluten-free,Indian,,,
Pani Puri,A popular street food snack made with hollow puri shells filled with spiced mashed potatoes and tangy tamarind water,4.99,Street Food,vegan,vegetarian,,Indian,,,
Rogan Josh,A classic Kashmiri lamb curry cooked with aromatic spices and tomato sauce,14.99,Curry,spicy,non-vegetarian,,Indian,,,
Kadai Paneer,"A flavorful North Indian dish made with paneer (cottage cheese), bell peppers, onions, and tomatoes, cooked in a kadai (wok)",11.99,Curry,vegetarian,,,Indian,,,
Gulab Jamun,"A classic Indian dessert made with milk solids, fried and soaked in a sugar syrup flavored with cardamom and rose water",5.99,Dessert,vegetarian,,,Indian,,,
Lassi,"A refreshing yogurt-based drink, available in sweet or salty varieties",3.99,Beverage,vegetarian,gluten-free,,Indian,,,
Chicken 65,"A spicy and tangy South Indian appetizer made with bite-sized pieces of marinated chicken, fried and seasoned with curry leaves and spices",9.99,Appetizer,spicy,non-vegetarian,,Indian,,,
Punjabi Chole Bhature,A popular Punjabi dish consisting of spicy chickpeas served with deep-fried bread,9.99,Main Course,spicy,chickpeas,bread,Indian,,,
Bengali Fish Curry,A delicious fish curry made with mustard paste and coconut milk,12.99,Main Course,fish,spicy,coconut,Indian,,,
Butter Chicken,A classic Indian dish made with marinated chicken cooked in a creamy tomato-based sauce,11.99,Main Course,chicken,spicy,creamy,Indian,,,
Dal Makhani,A popular vegetarian dish made with black lentils and kidney beans cooked in a creamy tomato-based sauce,8.99,Main Course,vegetarian,lentils,creamy,Indian,,,
Palak Paneer,A vegetarian dish made with spinach and cottage cheese cooked in a creamy tomato-based sauce,9.99,Main Course,vegetarian,spinach,cheese,Indian,,,
Hyderabadi Biryani,"A classic biryani dish from Hyderabad made with basmati rice, meat, and aromatic spices",13.99,Main Course,spicy,rice,meat,Indian,,,
Aloo Gobi,A vegetarian dish made with potatoes and cauliflower cooked in a spicy tomato-based sauce,7.99,Main Course,vegetarian,spicy,potatoes,Indian,,,
Paneer Tikka,A vegetarian dish made with marinated cottage cheese grilled to perfection,8.99,Appetizer,vegetarian,grilled,cheese,Indian,,,
Mutton Rogan Josh,A flavorful Kashmiri dish made with tender mutton cooked in aromatic spices,12.99,Main Course,spicy,meat,aromatic,Indian,,,
Rasgulla,A popular Bengali dessert made with cottage cheese balls soaked in sugar syrup,4.99,Dessert,sweet,cottage cheese,,Indian,,,
Murg Makhani,"Boneless tandoori chicken cooked in butter and tomato gravy, a popular North Indian dish",13.99,Main Course,buttery,creamy,spicy,indian,non-vegetarian,tandoori,north indian
Paneer Bhurji,"Scrambled cottage cheese cooked with onions, tomatoes, and spices, a popular vegetarian dish",9.99,Main Course,spicy,vegetarian,north indian,indian,,,
Hyderabadi Biryani,"A spicy and flavorful biryani made with basmati rice, meat, and spices, a popular dish from Hyderabad",15.99,Biryani,spicy,non-vegetarian,rice,indian,south indian,,
Gulab Jamun,"Deep-fried dough balls soaked in sugar syrup, a popular Indian dessert",5.99,Dessert,sweet,vegetarian,north indian,indian,,,
Mango Kulfi,"A creamy and delicious mango-flavored ice cream, a popular Indian dessert",4.99,Dessert,sweet,vegetarian,north indian,indian,,,
Veg Manchurian,"Fried vegetable balls in a spicy and tangy sauce, a popular Indo-Chinese dish",10.99,Appetizer,spicy,vegetarian,chinese,chinese,indian,,
Szechuan Noodles,"Noodles cooked with vegetables and a spicy Szechuan sauce, a popular Chinese dish",11.99,Main Course,spicy,vegetarian,noodles,chinese,chinese,,
Sweet and Sour Chicken,"Crispy fried chicken in a sweet and sour sauce, a popular Chinese dish",13.99,Main Course,sweet,sour,non-vegetarian,chinese,chinese,,
Margherita Pizza,A classic Italian pizza topped with tomato sauce and mozzarella cheese,12.99,Pizza,vegetarian,cheesy,italian,italian,,,
Mapo Tofu,Spicy tofu dish with ground meat and Sichuan peppercorns,11.99,Chinese,spicy,tofu,Sichuan cuisine,Chinese,,,
Kung Pao Chicken,Stir-fried chicken with peanuts and vegetables in a spicy sauce,12.99,Chinese,spicy,chicken,Sichuan cuisine,Chinese,,,
Xiao Long Bao,Steamed soup dumplings filled with pork and broth,8.99,Chinese,dumplings,soup,Shanghai cuisine,Chinese,,,
Ma La Tang,Spicy Sichuan hot pot with a variety of ingredients,16.99,Chinese,spicy,hot pot,Sichuan cuisine,Chinese,,,
Chow Mein,Stir-fried noodles with vegetables and meat or tofu,10.99,Chinese,noodles,stir-fried,Cantonese cuisine,Chinese,,,
Peking Duck,Roasted duck with crispy skin and thin pancakes,26.99,Chinese,duck,roasted,Beijing cuisine,Chinese,,,
Scallion Pancakes,Flaky pancakes with scallions and sesame oil,6.99,Chinese,pancakes,scallions,Shandong cuisine,Chinese,,,
Wonton Soup,Soup with dumplings filled with meat or seafood,7.99,Chinese,dumplings,soup,Cantonese cuisine,Chinese,,,
Dan Dan Noodles,Noodles with a spicy sesame and peanut sauce,9.99,Chinese,noodles,spicy,Sichuan cuisine,Chinese,,,
Hot and Sour Soup,"Soup with mushrooms, tofu, bamboo shoots, and vinegar",6.99,Chinese,soup,spicy,Sichuan cuisine,Chinese,,,
Egg Drop Soup,A classic Chinese soup made with eggs and chicken broth,5.99,Soup,chicken,comfort food,,Chinese,,,
Wonton Soup,A comforting broth filled with delicate wontons,7.99,Soup,comfort food,dumplings,,Chinese,,,
Kung Pao Chicken,"A spicy stir-fry dish with chicken, peanuts, and vegetables",13.99,Entree,spicy,chicken,stir-fry,Chinese,,,
Moo Shu Pork,"A traditional Chinese dish with shredded pork, eggs, and vegetables",12.99,Entree,pork,eggs,vegetables,Chinese,,,
Beef and Broccoli,A classic Chinese dish with tender beef and crisp broccoli,14.99,Entree,beef,broccoli,stir-fry,Chinese,,,
Mapo Tofu,A spicy and flavorful Sichuan dish with tofu and ground pork,10.99,Entree,spicy,tofu,pork,Chinese,,,
Spring Rolls,Crispy fried rolls filled with vegetables and meat,8.99,Appetizer,crispy,fried,vegetables,Chinese,,,
Potstickers,Pan-fried dumplings filled with pork and vegetables,9.99,Appetizer,dumplings,pork,pan-fried,Chinese,,,
Szechuan Beef,Spicy stir-fried beef with vegetables and Szechuan peppercorns,14.99,Entree,spicy,beef,stir-fry,Chinese,,,
Spaghetti Carbonara,"Spaghetti with bacon, eggs, and cheese in a creamy sauce",12.99,Pasta,spaghetti,bacon,eggs,Italian,cheese,,
Caprese Salad,"Tomato, basil, and mozzarella salad drizzled with balsamic vinegar",8.99,Salad,tomato,basil,mozzarella,Italian,vegetarian,,
Linguine with Clams,Linguine pasta with clams in a white wine sauce,14.99,Pasta,linguine,clams,white wine,Italian,,,
Bruschetta,"Grilled bread topped with diced tomatoes, garlic, and basil",6.99,Appetizer,bread,tomatoes,garlic,Italian,basil,vegetarian,
Chicken Parmesan,"Breaded chicken topped with tomato sauce and melted cheese, served with spaghetti",16.99,Entree,chicken,tomato sauce,cheese,Italian,spaghetti,,
Tiramisu,Layers of espresso-soaked ladyfingers and mascarpone cream dusted with cocoa powder,7.99,Dessert,tiramisu,espresso,mascarpone,Italian,cocoa,,
Gnocchi with Pesto,Potato dumplings with basil pesto and grated parmesan cheese,13.99,Pasta,gnocchi,pesto,parmesan,Italian,vegetarian,,
Margherita Flatbread,"Flatbread with tomato sauce, mozzarella, and basil",9.99,Flatbread,tomato,mozzarella,basil,Italian,vegetarian,,
Margherita Pizza,"A classic Italian pizza topped with tomato sauce, fresh mozzarella cheese, and basil",12.99,Pizza,vegetarian,cheese,tomato,Italian,basil,,
Spaghetti Carbonara,"Spaghetti pasta tossed with eggs, Parmesan cheese, pancetta, and black pepper",15.99,Pasta,carbonara,pasta,Italian,Italian,,,
Lasagna,"Layers of pasta, meat sauce, and cheese baked to perfection",18.99,Pasta,lasagna,meat,cheese,Italian,,,
Bruschetta,"Toasted bread topped with fresh tomatoes, garlic, basil, and olive oil",7.99,Appetizer,bruschetta,tomatoes,garlic,Italian,bread,,
Fettuccine Alfredo,Fettuccine pasta in a creamy Parmesan sauce,14.99,Pasta,fettuccine,alfredo,pasta,Italian,cream,Parmesan,
Caprese Salad,"A refreshing salad made with fresh mozzarella cheese, tomatoes, and basil",9.99,Salad,caprese,salad,cheese,Italian,tomatoes,basil,
Gnocchi,Potato dumplings served with tomato sauce and Parmesan cheese,16.99,Pasta,gnocchi,potato,pasta,Italian,tomato,Parmesan,
Minestrone Soup,"A hearty soup made with vegetables, beans, and pasta",6.99,Soup,minestrone,soup,vegetables,Italian,beans,pasta,
Chicken Parmesan,Breaded chicken breast topped with tomato sauce and melted mozzarella cheese,17.99,Entree,chicken,Parmesan,tomato,Italian,cheese,,
Tiramisu,"An Italian dessert made with layers of ladyfingers, mascarpone cheese, and coffee",8.99,Dessert,tiramisu,dessert,ladyfingers,Italian,,,
Spaghetti Carbonara,"Spaghetti with bacon, eggs, and cheese in a creamy sauce",12.99,Pasta,spaghetti,bacon,eggs,Italian,cheese,,
Caprese Salad,"Tomato, basil, and mozzarella salad drizzled with balsamic vinegar",8.99,Salad,tomato,basil,mozzarella,Italian,vegetarian,,
Linguine with Clams,Linguine pasta with clams in a white wine sauce,14.99,Pasta,linguine,clams,white wine,Italian,,,
Bruschetta,"Grilled bread topped with diced tomatoes, garlic, and basil",6.99,Appetizer,bread,tomatoes,garlic,Italian,basil,vegetarian,
Chicken Parmesan,"Breaded chicken topped with tomato sauce and melted cheese, served with spaghetti",16.99,Entree,chicken,tomato sauce,cheese,Italian,spaghetti,,
Tiramisu,Layers of espresso-soaked ladyfingers and mascarpone cream dusted with cocoa powder,7.99,Dessert,tiramisu,espresso,mascarpone,Italian,cocoa,,
Gnocchi with Pesto,Potato dumplings with basil pesto and grated parmesan cheese,13.99,Pasta,gnocchi,pesto,parmesan,Italian,vegetarian,,
Margherita Flatbread,"Flatbread with tomato sauce, mozzarella, and basil",9.99,Flatbread,tomato,mozzarella,basil,Italian,vegetarian,,
,,,,,,,,,,
